s (1,1) 330
(195,5) (195,6) 575
(196,5) (196,6) 428
(197,5) (197,6) 441
(198,5) (198,6) 82
(199,5) (199,6) 627
(200,5) (200,6) 376
(201,5) (201,6) 650
(202,5) (202,6) 899
(203,5) (203,6) 375
(204,5) (204,6) 794
(205,5) (205,6) 1000
(206,5) (206,6) 248
(207,5) (207,6) 244
(208,5) (208,6) 974
(209,5) (209,6) 499
(210,5) (210,6) 645
(211,5) (211,6) 271
(212,5) (212,6) 685
(213,5) (213,6) 838
(214,5) (214,6) 71
(215,5) (215,6) 588
(216,5) (216,6) 10
(217,5) (217,6) 972
(218,5) (218,6) 107
(219,5) (219,6) 55
(220,5) (220,6) 728
(221,5) (221,6) 901
(222,5) (222,6) 37
(223,5) (223,6) 569
(224,5) (224,6) 26
(225,5) (225,6) 652
(226,5) (226,6) 58
(227,5) (227,6) 183
(228,5) (228,6) 142
(229,5) (229,6) 96
(230,5) (230,6) 650
(231,5) (231,6) 143
(232,5) (232,6) 615
(233,5) (233,6) 706
(234,5) (234,6) 573
(235,5) (235,6) 180
(236,5) (236,6) 277
(237,5) (237,6) 886
(238,5) (238,6) 113
(239,5) (239,6) 496
(240,5) (240,6) 211
(241,5) (241,6) 402
(242,5) (242,6) 229
(243,5) (243,6) 305
(244,5) (244,6) 613
(245,5) (245,6) 107
(246,5) (246,6) 62
(247,5) (247,6) 420
(248,5) (248,6) 724
(249,5) (249,6) 791
(250,5) (250,6) 787
(251,5) (251,6) 510
(252,5) (252,6) 456
(253,5) (253,6) 38
(254,5) (254,6) 350
(255,5) (255,6) 682
(256,5) (256,6) 409
(257,5) (257,6) 538
(258,5) (258,6) 114
(259,5) (259,6) 892
(260,5) (260,6) 657
(261,5) (261,6) 429
(262,5) (262,6) 204
(263,5) (263,6) 364
(264,5) (264,6) 673
(265,5) (265,6) 17
(266,5) (266,6) 255
(267,5) (267,6) 551
(268,5) (268,6) 399
(269,5) (269,6) 922
(270,5) (270,6) 552
(271,5) (271,6) 695
(272,5) (272,6) 809
(273,5) (273,6) 936
(274,5) (274,6) 274
(275,5) (275,6) 482
(276,5) (276,6) 553
(277,5) (277,6) 465
(278,5) (278,6) 247
(279,5) (279,6) 256
(280,5) (280,6) 788
(281,5) (281,6) 339
(282,5) (282,6) 677
(283,5) (283,6) 998
(284,5) (284,6) 912
(285,5) (285,6) 303
(286,5) (286,6) 912
(287,5) (287,6) 615
(288,5) (288,6) 578
(289,5) (289,6) 897
(290,5) (290,6) 841
(291,5) (291,6) 298
(292,5) (292,6) 866
(293,5) (293,6) 332
(294,5) (294,6) 531
(295,5) (295,6) 743
(296,5) (296,6) 780
(297,5) (297,6) 42
(298,5) (298,6) 5
(299,5) (299,6) 123
(300,5) (300,6) 987
(301,5) (301,6) 145
(302,5) (302,6) 217
(303,5) (303,6) 612
(304,5) (304,6) 547
(305,5) (305,6) 753
(306,5) (306,6) 409
(307,5) (307,6) 526
(308,5) (308,6) 451
(309,5) (309,6) 906
(310,5) (310,6) 224
(311,5) (311,6) 795
(312,5) (312,6) 86
(313,5) (313,6) 51
(314,5) (314,6) 628
(315,5) (315,6) 265
(316,5) (316,6) 557
(317,5) (317,6) 725
(318,5) (318,6) 550
(319,5) (319,6) 485
(320,5) (320,6) 786
(321,5) (321,6) 870
(322,5) (322,6) 699
(323,5) (323,6) 461
(324,5) (324,6) 787
(325,5) (325,6) 193
(326,5) (326,6) 643
(327,5) (327,6) 219
(328,5) (328,6) 329
(329,5) (329,6) 826
(330,5) (330,6) 651
(331,5) (331,6) 926
(332,5) (332,6) 453
(333,5) (333,6) 647
(334,5) (334,6) 529
(335,5) (335,6) 787
(336,5) (336,6) 494
(337,5) (337,6) 699
(338,5) (338,6) 372
(339,5) (339,6) 824
(340,5) (340,6) 89
(341,5) (341,6) 580
(342,5) (342,6) 149
(343,5) (343,6) 929
(344,5) (344,6) 349
(345,5) (345,6) 404
(346,5) (346,6) 478
(347,5) (347,6) 379
(348,5) (348,6) 265
(349,5) (349,6) 828
(350,5) (350,6) 85
(351,5) (351,6) 774
(352,5) (352,6) 309
(353,5) (353,6) 188
(354,5) (354,6) 20
(355,5) (355,6) 496
(356,5) (356,6) 554
(357,5) (357,6) 904
(358,5) (358,6) 593
(359,5) (359,6) 996
(360,5) (360,6) 535
(361,5) (361,6) 189
(362,5) (362,6) 181
(363,5) (363,6) 226
(364,5) (364,6) 721
(365,5) (365,6) 529
(366,5) (366,6) 107
(367,5) (367,6) 720
(368,5) (368,6) 461
(369,5) (369,6) 847
(370,5) (370,6) 640
(371,5) (371,6) 6
(372,5) (372,6) 901
(373,5) (373,6) 218
(374,5) (374,6) 649
(375,5) (375,6) 574
(376,5) (376,6) 902
(377,5) (377,6) 105
(378,5) (378,6) 997
(379,5) (379,6) 882
(380,5) (380,6) 26
(381,5) (381,6) 689
(382,5) (382,6) 312
(383,5) (383,6) 664
(384,5) (384,6) 110
(385,5) (385,6) 656
(386,5) (386,6) 480
(387,5) (387,6) 225
(388,5) (388,6) 338
(389,5) (389,6) 133
(390,5) (390,6) 688
(391,5) (391,6) 887
(392,5) (392,6) 896
(393,5) (393,6) 910
(394,5) (394,6) 591
(395,5) (395,6) 556
(396,5) (396,6) 451
(397,5) (397,6) 161
(398,5) (398,6) 124
(399,5) (399,6) 87
(400,5) (400,6) 990
(401,5) (401,6) 884
(402,5) (402,6) 672
(403,5) (403,6) 946
(404,5) (404,6) 717
(405,5) (405,6) 407
(406,5) (406,6) 680
(407,5) (407,6) 503
(408,5) (408,6) 380
(409,5) (409,6) 375
(410,5) (410,6) 974
(411,5) (411,6) 305
(412,5) (412,6) 195
(413,5) (413,6) 102
(414,5) (414,6) 707
(415,5) (415,6) 518
(416,5) (416,6) 298
(417,5) (417,6) 174
(418,5) (418,6) 515
(419,5) (419,6) 602
(420,5) (420,6) 303
(421,5) (421,6) 925
(422,5) (422,6) 341
(423,5) (423,6) 791
(424,5) (424,6) 505
(425,5) (425,6) 857
(426,5) (426,6) 125
(427,5) (427,6) 608
(428,5) (428,6) 607
(429,5) (429,6) 532
(430,5) (430,6) 455
(431,5) (431,6) 437
(432,5) (432,6) 18
(433,5) (433,6) 43
(434,5) (434,6) 186
(435,5) (435,6) 9
(436,5) (436,6) 652
(437,5) (437,6) 513
(438,5) (438,6) 71
(439,5) (439,6) 999
(440,5) (440,6) 364
(441,5) (441,6) 433
(442,5) (442,6) 189
(443,5) (443,6) 195
(444,5) (444,6) 544
(445,5) (445,6) 264
(446,5) (446,6) 955
(447,5) (447,6) 725
(448,5) (448,6) 181
(449,5) (449,6) 945
(450,5) (450,6) 617
(451,5) (451,6) 911
(452,5) (452,6) 373
(453,5) (453,6) 338
(454,5) (454,6) 923
(455,5) (455,6) 928
(456,5) (456,6) 933
(457,5) (457,6) 51
(458,5) (458,6) 562
(459,5) (459,6) 66
(460,5) (460,6) 434
(461,5) (461,6) 495
(462,5) (462,6) 161
(463,5) (463,6) 909
(464,5) (464,6) 496
(465,5) (465,6) 523
(466,5) (466,6) 457
(467,5) (467,6) 254
(468,5) (468,6) 991
(469,5) (469,6) 307
(470,5) (470,6) 657
(471,5) (471,6) 402
(472,5) (472,6) 42
(473,5) (473,6) 892
(474,5) (474,6) 998
(475,5) (475,6) 101
(476,5) (476,6) 445
(477,5) (477,6) 804
(478,5) (478,6) 955
(479,5) (479,6) 567
(480,5) (480,6) 522
(481,5) (481,6) 877
(482,5) (482,6) 981
(483,5) (483,6) 334
(484,5) (484,6) 24
(485,5) (485,6) 233
(486,5) (486,6) 126
(487,5) (487,6) 855
(488,5) (488,6) 545
(489,5) (489,6) 728
(490,5) (490,6) 844
(491,5) (491,6) 845
(492,5) (492,6) 663
(493,5) (493,6) 556
(494,5) (494,6) 893
(495,5) (495,6) 140
(496,5) (496,6) 26
(497,5) (497,6) 382
(498,5) (498,6) 592
(499,5) (499,6) 511
(500,5) (500,6) 984
(1,6) (1,7) 545
(2,6) (2,7) 867
(3,6) (3,7) 237
(4,6) (4,7) 617
(5,6) (5,7) 651
(6,6) (6,7) 925
(7,6) (7,7) 690
(8,6) (8,7) 438
(9,6) (9,7) 268
(10,6) (10,7) 784
(11,6) (11,7) 858
(12,6) (12,7) 694
(13,6) (13,7) 760
(14,6) (14,7) 37
(15,6) (15,7) 513
(16,6) (16,7) 557
(17,6) (17,7) 686
(18,6) (18,7) 35
(19,6) (19,7) 806
(20,6) (20,7) 449
(21,6) (21,7) 395
(22,6) (22,7) 149
(23,6) (23,7) 30
(24,6) (24,7) 185
(25,6) (25,7) 465
(26,6) (26,7) 207
(27,6) (27,7) 244
(28,6) (28,7) 453
(29,6) (29,7) 152
(30,6) (30,7) 189
(31,6) (31,7) 430
(32,6) (32,7) 636
(33,6) (33,7) 199
(34,6) (34,7) 728
(35,6) (35,7) 227
(36,6) (36,7) 214
(37,6) (37,7) 755
(38,6) (38,7) 566
(39,6) (39,7) 848
(40,6) (40,7) 175
(41,6) (41,7) 838
(42,6) (42,7) 5
(43,6) (43,7) 730
(44,6) (44,7) 141
(45,6) (45,7) 275
(46,6) (46,7) 859
(47,6) (47,7) 781
(48,6) (48,7) 542
(49,6) (49,7) 254
(50,6) (50,7) 829
(51,6) (51,7) 195
(52,6) (52,7) 816
(53,6) (53,7) 425
(54,6) (54,7) 258
(55,6) (55,7) 569
(56,6) (56,7) 790
(57,6) (57,7) 744
(58,6) (58,7) 44
(59,6) (59,7) 467
(60,6) (60,7) 76
(61,6) (61,7) 774
(62,6) (62,7) 250
(63,6) (63,7) 576
(64,6) (64,7) 168
(65,6) (65,7) 633
(66,6) (66,7) 548
(67,6) (67,7) 136
(68,6) (68,7) 173
(69,6) (69,7) 104
(70,6) (70,7) 37
(71,6) (71,7) 369
(72,6) (72,7) 861
(73,6) (73,7) 916
(74,6) (74,7) 230
(75,6) (75,7) 353
(76,6) (76,7) 570
(77,6) (77,7) 260
(78,6) (78,7) 581
(79,6) (79,7) 750
(80,6) (80,7) 361
(81,6) (81,7) 867
(82,6) (82,7) 777
(83,6) (83,7) 954
(84,6) (84,7) 899
(85,6) (85,7) 285
(86,6) (86,7) 128
(87,6) (87,7) 146
(88,6) (88,7) 938
(89,6) (89,7) 23
(90,6) (90,7) 647
(91,6) (91,7) 429
(92,6) (92,7) 564
(93,6) (93,7) 515
(94,6) (94,7) 605
(95,6) (95,7) 201
(96,6) (96,7) 703
(97,6) (97,7) 602
(98,6) (98,7) 148
(99,6) (99,7) 960
(100,6) (100,7) 434
(101,6) (101,7) 197
(102,6) (102,7) 253
(103,6) (103,7) 338
(104,6) (104,7) 363
(105,6) (105,7) 764
(106,6) (106,7) 216
(107,6) (107,7) 765
(108,6) (108,7) 570
(109,6) (109,7) 743
(110,6) (110,7) 37
(111,6) (111,7) 728
(112,6) (112,7) 81
(113,6) (113,7) 819
(114,6) (114,7) 394
(115,6) (115,7) 621
(116,6) (116,7) 414
(117,6) (117,7) 235
(118,6) (118,7) 689
(119,6) (119,7) 332
(120,6) (120,7) 247
(121,6) (121,7) 200
(122,6) (122,7) 228
(123,6) (123,7) 980
(124,6) (124,7) 497
(125,6) (125,7) 644
(126,6) (126,7) 768
(127,6) (127,7) 236
(128,6) (128,7) 525
(129,6) (129,7) 216
(130,6) (130,7) 875
(131,6) (131,7) 888
(132,6) (132,7) 480
(133,6) (133,7) 126
(134,6) (134,7) 884
(135,6) (135,7) 695
(136,6) (136,7) 765
(137,6) (137,7) 360
(138,6) (138,7) 726
(139,6) (139,7) 913
(140,6) (140,7) 952
(141,6) (141,7) 519
(142,6) (142,7) 888
(143,6) (143,7) 206
(144,6) (144,7) 538
(145,6) (145,7) 600
(146,6) (146,7) 540
(147,6) (147,7) 634
(148,6) (148,7) 508
(149,6) (149,7) 89
(150,6) (150,7) 402
(151,6) (151,7) 269
(152,6) (152,7) 98
(153,6) (153,7) 225
(154,6) (154,7) 256
(155,6) (155,7) 958
(156,6) (156,7) 495
(157,6) (157,7) 957
(158,6) (158,7) 416
(159,6) (159,7) 439
(160,6) (160,7) 782
(161,6) (161,7) 998
(162,6) (162,7) 822
(163,6) (163,7) 851
(164,6) (164,7) 851
(165,6) (165,7) 80
(166,6) (166,7) 892
(167,6) (167,7) 540
(168,6) (168,7) 703
(169,6) (169,7) 846
(170,6) (170,7) 229
(171,6) (171,7) 162
(172,6) (172,7) 410
(173,6) (173,7) 809
(174,6) (174,7) 962
(175,6) (175,7) 950
(176,6) (176,7) 776
(177,6) (177,7) 200
(178,6) (178,7) 444
(179,6) (179,7) 708
(180,6) (180,7) 971
(181,6) (181,7) 376
(182,6) (182,7) 959
(183,6) (183,7) 215
(184,6) (184,7) 816
(185,6) (185,7) 5
(186,6) (186,7) 430
(187,6) (187,7) 894
(188,6) (188,7) 33
(189,6) (189,7) 241
(190,6) (190,7) 657
(191,6) (191,7) 692
(192,6) (192,7) 350
(193,6) (193,7) 856
(194,6) (194,7) 176
(195,6) (195,7) 309
(196,6) (196,7) 273
(197,6) (197,7) 927
(198,6) (198,7) 515
(199,6) (199,7) 925
(200,6) (200,7) 789
(201,6) (201,7) 249
(202,6) (202,7) 192
(203,6) (203,7) 131
(204,6) (204,7) 418
(205,6) (205,7) 912
(206,6) (206,7) 143
(207,6) (207,7) 434
(208,6) (208,7) 967
(209,6) (209,7) 477
(210,6) (210,7) 197
(211,6) (211,7) 71
(212,6) (212,7) 500
(213,6) (213,7) 511
(214,6) (214,7) 627
(215,6) (215,7) 814
(216,6) (216,7) 724
(217,6) (217,7) 815
(218,6) (218,7) 803
(219,6) (219,7) 976
(220,6) (220,7) 955
(221,6) (221,7) 596
(222,6) (222,7) 391
(223,6) (223,7) 760
(224,6) (224,7) 386
(225,6) (225,7) 338
(226,6) (226,7) 662
(227,6) (227,7) 683
(228,6) (228,7) 108
(229,6) (229,7) 294
(230,6) (230,7) 11
(231,6) (231,7) 733
(232,6) (232,7) 651
(233,6) (233,7) 900
(234,6) (234,7) 83
(235,6) (235,7) 120
(236,6) (236,7) 284
(237,6) (237,7) 185
(238,6) (238,7) 187
(239,6) (239,7) 367
(240,6) (240,7) 284
(241,6) (241,7) 349
(242,6) (242,7) 348
(243,6) (243,7) 144
(244,6) (244,7) 222
(245,6) (245,7) 536
(246,6) (246,7) 876
(247,6) (247,7) 216
(248,6) (248,7) 858
(249,6) (249,7) 605
(250,6) (250,7) 122
(251,6) (251,7) 617
(252,6) (252,7) 211
(253,6) (253,7) 859
(254,6) (254,7) 990
(255,6) (255,7) 662
(256,6) (256,7) 92
(257,6) (257,7) 16
(258,6) (258,7) 282
(259,6) (259,7) 384
(260,6) (260,7) 616
(261,6) (261,7) 209
(262,6) (262,7) 257
(263,6) (263,7) 993
(264,6) (264,7) 878
(265,6) (265,7) 325
(266,6) (266,7) 915
(267,6) (267,7) 333
(268,6) (268,7) 149
(269,6) (269,7) 368
(270,6) (270,7) 898
(271,6) (271,7) 264
(272,6) (272,7) 898
(273,6) (273,7) 418
(274,6) (274,7) 148
(275,6) (275,7) 954
(276,6) (276,7) 131
(277,6) (277,7) 759
(278,6) (278,7) 621
(279,6) (279,7) 31
(280,6) (280,7) 422
(281,6) (281,7) 554
(282,6) (282,7) 912
(283,6) (283,7) 620
(284,6) (284,7) 931
(285,6) (285,7) 306
(286,6) (286,7) 770
(287,6) (287,7) 36
(288,6) (288,7) 234
(289,6) (289,7) 935
(290,6) (290,7) 747
(291,6) (291,7) 184
(292,6) (292,7) 707
(293,6) (293,7) 941
(294,6) (294,7) 705
(295,6) (295,7) 741
(296,6) (296,7) 41
(297,6) (297,7) 871
(298,6) (298,7) 83
(299,6) (299,7) 94
(300,6) (300,7) 889
(301,6) (301,7) 879
(302,6) (302,7) 359
(303,6) (303,7) 514
(304,6) (304,7) 877
(305,6) (305,7) 810
(306,6) (306,7) 953
(307,6) (307,7) 225
(308,6) (308,7) 615
(309,6) (309,7) 553
(310,6) (310,7) 993
(311,6) (311,7) 449
(312,6) (312,7) 492
(313,6) (313,7) 305
(314,6) (314,7) 704
(315,6) (315,7) 901
(316,6) (316,7) 495
(317,6) (317,7) 980
(318,6) (318,7) 854
(319,6) (319,7) 468
(320,6) (320,7) 511
(321,6) (321,7) 649
(322,6) (322,7) 434
(323,6) (323,7) 311
(324,6) (324,7) 319
(325,6) (325,7) 990
(326,6) (326,7) 55
(327,6) (327,7) 556
(328,6) (328,7) 991
(329,6) (329,7) 166
(330,6) (330,7) 864
(331,6) (331,7) 640
(332,6) (332,7) 564
(333,6) (333,7) 525
(334,6) (334,7) 48
(335,6) (335,7) 34
(336,6) (336,7) 265
(337,6) (337,7) 576
(338,6) (338,7) 984
(339,6) (339,7) 34
(340,6) (340,7) 855
(341,6) (341,7) 513
(342,6) (342,7) 566
(343,6) (343,7) 56
(344,6) (344,7) 761
(345,6) (345,7) 976
(346,6) (346,7) 374
(347,6) (347,7) 920
(348,6) (348,7) 941
(349,6) (349,7) 246
(350,6) (350,7) 816
(351,6) (351,7) 227
(352,6) (352,7) 215
(353,6) (353,7) 739
(354,6) (354,7) 509
(355,6) (355,7) 882
(356,6) (356,7) 64
(357,6) (357,7) 95
(358,6) (358,7) 15
(359,6) (359,7) 596
(360,6) (360,7) 998
(361,6) (361,7) 909
(362,6) (362,7) 93
(363,6) (363,7) 422
(364,6) (364,7) 417
(365,6) (365,7) 460
(366,6) (366,7) 536
(367,6) (367,7) 226
(368,6) (368,7) 522
(369,6) (369,7) 895
(370,6) (370,7) 180
(371,6) (371,7) 728
(372,6) (372,7) 111
(373,6) (373,7) 548
(374,6) (374,7) 614
(375,6) (375,7) 240
(376,6) (376,7) 935
(377,6) (377,7) 130
(378,6) (378,7) 855
(379,6) (379,7) 906
(380,6) (380,7) 591
(381,6) (381,7) 963
(382,6) (382,7) 482
(383,6) (383,7) 557
(384,6) (384,7) 919
(385,6) (385,7) 689
(386,6) (386,7) 224
(387,6) (387,7) 228
(388,6) (388,7) 908
(389,6) (389,7) 693
(390,6) (390,7) 237
(391,6) (391,7) 111
(392,6) (392,7) 378
(393,6) (393,7) 306
(394,6) (394,7) 558
(395,6) (395,7) 933
(396,6) (396,7) 717
(397,6) (397,7) 568
(398,6) (398,7) 74
(399,6) (399,7) 718
(400,6) (400,7) 164
(401,6) (401,7) 21
(402,6) (402,7) 418
(403,6) (403,7) 695
(404,6) (404,7) 483
(405,6) (405,7) 622
(406,6) (406,7) 782
(407,6) (407,7) 527
(408,6) (408,7) 180
(409,6) (409,7) 67
(410,6) (410,7) 486
(411,6) (411,7) 86
(412,6) (412,7) 385
(413,6) (413,7) 480
(414,6) (414,7) 874
(415,6) (415,7) 70
(416,6) (416,7) 441
(417,6) (417,7) 407
(418,6) (418,7) 366
(419,6) (419,7) 929
(420,6) (420,7) 525
(421,6) (421,7) 867
(422,6) (422,7) 157
(423,6) (423,7) 650
(424,6) (424,7) 389
(425,6) (425,7) 16
(426,6) (426,7) 576
(427,6) (427,7) 983
(428,6) (428,7) 371
(429,6) (429,7) 398
(430,6) (430,7) 643
(431,6) (431,7) 220
(432,6) (432,7) 100
(433,6) (433,7) 605
(434,6) (434,7) 525
(435,6) (435,7) 819
(436,6) (436,7) 318
(437,6) (437,7) 74
(438,6) (438,7) 139
(439,6) (439,7) 263
(440,6) (440,7) 803
(441,6) (441,7) 247
(442,6) (442,7) 151
(443,6) (443,7) 529
(444,6) (444,7) 601
(445,6) (445,7) 8
(446,6) (446,7) 882
(447,6) (447,7) 57
(448,6) (448,7) 978
(449,6) (449,7) 466
(450,6) (450,7) 435
(451,6) (451,7) 430
(452,6) (452,7) 575
(453,6) (453,7) 30
(454,6) (454,7) 378
(455,6) (455,7) 856
(456,6) (456,7) 628
(457,6) (457,7) 451
(458,6) (458,7) 38
(459,6) (459,7) 970
(460,6) (460,7) 752
(461,6) (461,7) 562
(462,6) (462,7) 544
(463,6) (463,7) 686
(464,6) (464,7) 940
(465,6) (465,7) 474
(466,6) (466,7) 714
(467,6) (467,7) 489
(468,6) (468,7) 517
(469,6) (469,7) 652
(470,6) (470,7) 223
(471,6) (471,7) 765
(472,6) (472,7) 688
(473,6) (473,7) 970
(474,6) (474,7) 999
(475,6) (475,7) 877
(476,6) (476,7) 689
(477,6) (477,7) 576
(478,6) (478,7) 39
(479,6) (479,7) 435
(480,6) (480,7) 383
(481,6) (481,7) 164
(482,6) (482,7) 132
(483,6) (483,7) 133
(484,6) (484,7) 711
(485,6) (485,7) 633
(486,6) (486,7) 482
(487,6) (487,7) 951
(488,6) (488,7) 500
(489,6) (489,7) 647
(490,6) (490,7) 717
(491,6) (491,7) 538
(492,6) (492,7) 168
(493,6) (493,7) 751
(494,6) (494,7) 27
(495,6) (495,7) 313
(496,6) (496,7) 66
(497,6) (497,7) 34
(498,6) (498,7) 588
(499,6) (499,7) 756
(500,6) (500,7) 60
(1,7) (1,8) 713
(2,7) (2,8) 839
(3,7) (3,8) 405
(4,7) (4,8) 327
(5,7) (5,8) 543
(6,7) (6,8) 594
(7,7) (7,8) 992
(8,7) (8,8) 973
(9,7) (9,8) 731
(10,7) (10,8) 549
(11,7) (11,8) 128
(12,7) (12,8) 307
(13,7) (13,8) 130
(14,7) (14,8) 868
(15,7) (15,8) 324
(16,7) (16,8) 921
(17,7) (17,8) 497
(18,7) (18,8) 431
(19,7) (19,8) 641
(20,7) (20,8) 776
(21,7) (21,8) 480
(22,7) (22,8) 320
(23,7) (23,8) 705
(24,7) (24,8) 783
(25,7) (25,8) 50
(26,7) (26,8) 825
(27,7) (27,8) 953
(28,7) (28,8) 833
(29,7) (29,8) 168
(30,7) (30,8) 847
(31,7) (31,8) 880
(32,7) (32,8) 782
(33,7) (33,8) 653
(34,7) (34,8) 7
(35,7) (35,8) 507
(36,7) (36,8) 892
(37,7) (37,8) 948
(38,7) (38,8) 171
(39,7) (39,8) 949
(40,7) (40,8) 467
(41,7) (41,8) 102
(42,7) (42,8) 576
(43,7) (43,8) 380
(44,7) (44,8) 218
(45,7) (45,8) 985
(46,7) (46,8) 831
(47,7) (47,8) 255
(48,7) (48,8) 777
(49,7) (49,8) 338
(50,7) (50,8) 239
(51,7) (51,8) 291
(52,7) (52,8) 828
(53,7) (53,8) 938
(54,7) (54,8) 340
(55,7) (55,8) 29
(56,7) (56,8) 184
(57,7) (57,8) 326
(58,7) (58,8) 790
(59,7) (59,8) 834
(60,7) (60,8) 493
(61,7) (61,8) 824
(62,7) (62,8) 696
(63,7) (63,8) 434
(64,7) (64,8) 800
(65,7) (65,8) 467
(66,7) (66,8) 82
(67,7) (67,8) 426
(68,7) (68,8) 724
(69,7) (69,8) 340
(70,7) (70,8) 342
(71,7) (71,8) 241
(72,7) (72,8) 837
(73,7) (73,8) 245
(74,7) (74,8) 516
(75,7) (75,8) 690
(76,7) (76,8) 856
(77,7) (77,8) 891
(78,7) (78,8) 890
(79,7) (79,8) 720
(80,7) (80,8) 18
(81,7) (81,8) 207
(82,7) (82,8) 284
(83,7) (83,8) 353
(84,7) (84,8) 412
(85,7) (85,8) 73
(86,7) (86,8) 244
(87,7) (87,8) 465
(88,7) (88,8) 864
(89,7) (89,8) 567
(90,7) (90,8) 117
(91,7) (91,8) 167
(92,7) (92,8) 946
(93,7) (93,8) 46
(94,7) (94,8) 58
(95,7) (95,8) 196
(96,7) (96,8) 646
(97,7) (97,8) 936
(98,7) (98,8) 446
(99,7) (99,8) 608
(100,7) (100,8) 874
(101,7) (101,8) 923
(102,7) (102,8) 887
(103,7) (103,8) 870
(104,7) (104,8) 847
(105,7) (105,8) 755
(106,7) (106,8) 933
(107,7) (107,8) 144
(108,7) (108,8) 914
(109,7) (109,8) 581
(110,7) (110,8) 881
(111,7) (111,8) 621
(112,7) (112,8) 337
(113,7) (113,8) 484
(114,7) (114,8) 947
(115,7) (115,8) 111
(116,7) (116,8) 420
(117,7) (117,8) 377
(118,7) (118,8) 740
(119,7) (119,8) 745
(120,7) (120,8) 122
(121,7) (121,8) 299
(122,7) (122,8) 52
(123,7) (123,8) 357
(124,7) (124,8) 445
(125,7) (125,8) 686
(126,7) (126,8) 849
(127,7) (127,8) 148
(128,7) (128,8) 219
(129,7) (129,8) 471
(130,7) (130,8) 822
(131,7) (131,8) 359
(132,7) (132,8) 345
(133,7) (133,8) 734
(134,7) (134,8) 123
(135,7) (135,8) 466
(136,7) (136,8) 950
(137,7) (137,8) 908
(138,7) (138,8) 886
(139,7) (139,8) 656
(140,7) (140,8) 338
(141,7) (141,8) 156
(142,7) (142,8) 846
(143,7) (143,8) 306
(144,7) (144,8) 442
(145,7) (145,8) 614
(146,7) (146,8) 248
(147,7) (147,8) 336
(148,7) (148,8) 720
(149,7) (149,8) 302
(150,7) (150,8) 993
(151,7) (151,8) 738
(152,7) (152,8) 51
(153,7) (153,8) 475
(154,7) (154,8) 342
(155,7) (155,8) 40
(156,7) (156,8) 368
(157,7) (157,8) 508
(158,7) (158,8) 186
(159,7) (159,8) 606
(160,7) (160,8) 172
(161,7) (161,8) 365
(162,7) (162,8) 405
(163,7) (163,8) 603
(164,7) (164,8) 39
(165,7) (165,8) 199
(166,7) (166,8) 6
(167,7) (167,8) 937
(168,7) (168,8) 406
(169,7) (169,8) 269
(170,7) (170,8) 925
(171,7) (171,8) 23
(172,7) (172,8) 566
(173,7) (173,8) 762
(174,7) (174,8) 719
(175,7) (175,8) 897
(176,7) (176,8) 432
(177,7) (177,8) 264
(178,7) (178,8) 687
(179,7) (179,8) 609
(180,7) (180,8) 189
(181,7) (181,8) 556
(182,7) (182,8) 894
(183,7) (183,8) 743
(184,7) (184,8) 887
(185,7) (185,8) 742
(186,7) (186,8) 822
(187,7) (187,8) 540
(188,7) (188,8) 305
(189,7) (189,8) 732
(190,7) (190,8) 633
(191,7) (191,8) 916
(192,7) (192,8) 220
(193,7) (193,8) 149
(194,7) (194,8) 161
(195,7) (195,8) 522
(196,7) (196,8) 224
(197,7) (197,8) 723
(198,7) (198,8) 739
(199,7) (199,8) 29
(200,7) (200,8) 35
(201,7) (201,8) 938
(202,7) (202,8) 117
(203,7) (203,8) 72
(204,7) (204,8) 81
(205,7) (205,8) 701
(206,7) (206,8) 432
(207,7) (207,8) 816
(208,7) (208,8) 104
(209,7) (209,8) 231
(210,7) (210,8) 148
(211,7) (211,8) 254
(212,7) (212,8) 366
(213,7) (213,8) 431
(214,7) (214,8) 175
(215,7) (215,8) 292
(216,7) (216,8) 849
(217,7) (217,8) 885
(218,7) (218,8) 642
(219,7) (219,8) 44
(220,7) (220,8) 315
(221,7) (221,8) 378
(222,7) (222,8) 456
(223,7) (223,8) 188
(224,7) (224,8) 352
(225,7) (225,8) 908
(226,7) (226,8) 796
(227,7) (227,8) 942
(228,7) (228,8) 822
(229,7) (229,8) 934
(230,7) (230,8) 838
(231,7) (231,8) 604
(232,7) (232,8) 720
(233,7) (233,8) 838
(234,7) (234,8) 225
(235,7) (235,8) 81
(236,7) (236,8) 310
(237,7) (237,8) 351
(238,7) (238,8) 580
(239,7) (239,8) 466
(240,7) (240,8) 397
(241,7) (241,8) 839
(242,7) (242,8) 707
(243,7) (243,8) 179
(244,7) (244,8) 191
(245,7) (245,8) 723
(246,7) (246,8) 817
(247,7) (247,8) 478
(248,7) (248,8) 830
(249,7) (249,8) 823
(250,7) (250,8) 484
(251,7) (251,8) 790
(252,7) (252,8) 34
(253,7) (253,8) 122
(254,7) (254,8) 981
(255,7) (255,8) 873
(256,7) (256,8) 388
(257,7) (257,8) 277
(258,7) (258,8) 907
(259,7) (259,8) 324
(260,7) (260,8) 582
(261,7) (261,8) 252
(262,7) (262,8) 403
(263,7) (263,8) 697
(264,7) (264,8) 490
(265,7) (265,8) 277
(266,7) (266,8) 966
(267,7) (267,8) 236
(268,7) (268,8) 332
(269,7) (269,8) 638
(270,7) (270,8) 223
